SCATS_Number,SCATS Neighbours,NB_LATITUDE,NB_LONGITUDE,V00
2000,3685 4043 3682,-37.85187,145.09407,48
2000,3685 4043 3682,-37.85187,145.09407,57
2000,3685 4043 3682,-37.85187,145.09407,66
2000,3685 4043 3682,-37.85187,145.09407,104
2000,3685 4043 3682,-37.85187,145.09407,159
2000,3685 4043 3682,-37.85187,145.09407,43
2000,3685 4043 3682,-37.85187,145.09407,31
2000,3685 4043 3682,-37.85187,145.09407,47
2000,3685 4043 3682,-37.85187,145.09407,42
2000,3685 4043 3682,-37.85187,145.09407,62
2000,3685 4043 3682,-37.85187,145.09407,120
2000,3685 4043 3682,-37.85187,145.09407,125
2000,3685 4043 3682,-37.85187,145.09407,41
2000,3685 4043 3682,-37.85187,145.09407,40
2200,4063,-37.81631,145.09812,25
2200,4063,-37.81631,145.09812,4
2200,4063,-37.81631,145.09812,7
2200,4063,-37.81631,145.09812,3
2200,4063,-37.81631,145.09812,8
2200,4063,-37.81631,145.09812,8
2200,4063,-37.81631,145.09812,17
2200,4063,-37.81631,145.09812,39
2200,4063,-37.81631,145.09812,2
2200,4063,-37.81631,145.09812,5
2200,4063,-37.81631,145.09812,6
2200,4063,-37.81631,145.09812,5
2200,4063,-37.81631,145.09812,13
2200,4063,-37.81631,145.09812,29
2200,4063,-37.81631,145.09812,21
2200,4063,-37.81631,145.09812,4
2200,4063,-37.81631,145.09812,6
2200,4063,-37.81631,145.09812,11
2200,4063,-37.81631,145.09812,6
2200,4063,-37.81631,145.09812,18
2200,4063,-37.81631,145.09812,20
2200,4063,-37.81631,145.09812,29
2200,4063,-37.81631,145.09812,5
2200,4063,-37.81631,145.09812,4
2200,4063,-37.81631,145.09812,12
2200,4063,-37.81631,145.09812,10
2200,4063,-37.81631,145.09812,8
2200,4063,-37.81631,145.09812,20
2200,4063,-37.81631,145.09812,30
2200,4063,-37.81631,145.09812,8
2200,4063,-37.81631,145.09812,5
2200,4063,-37.81655,145.09831,38
2200,4063,-37.81655,145.09831,17
2200,4063,-37.81655,145.09831,9
2200,4063,-37.81655,145.09831,16
2200,4063,-37.81655,145.09831,17
2200,4063,-37.81655,145.09831,24
2200,4063,-37.81655,145.09831,44
2200,4063,-37.81655,145.09831,46
2200,4063,-37.81655,145.09831,7
2200,4063,-37.81655,145.09831,8
2200,4063,-37.81655,145.09831,14
2200,4063,-37.81655,145.09831,15
2200,4063,-37.81655,145.09831,16
2200,4063,-37.81655,145.09831,45
2200,4063,-37.81655,145.09831,44
2200,4063,-37.81655,145.09831,15
2200,4063,-37.81655,145.09831,8
2200,4063,-37.81655,145.09831,19
2200,4063,-37.81655,145.09831,19
2200,4063,-37.81655,145.09831,23
2200,4063,-37.81655,145.09831,33
2200,4063,-37.81655,145.09831,53
2200,4063,-37.81655,145.09831,11
2200,4063,-37.81655,145.09831,6
2200,4063,-37.81655,145.09831,10
2200,4063,-37.81655,145.09831,11
2200,4063,-37.81655,145.09831,18
2200,4063,-37.81655,145.09831,35
2200,4063,-37.81655,145.09831,44
2200,4063,-37.81655,145.09831,14
2200,4063,-37.81655,145.09831,12
2200,4063,-37.81682,145.09802,36
2200,4063,-37.81682,145.09802,7
2200,4063,-37.81682,145.09802,10
2200,4063,-37.81682,145.09802,10
2200,4063,-37.81682,145.09802,14
2200,4063,-37.81682,145.09802,11
2200,4063,-37.81682,145.09802,31
2200,4063,-37.81682,145.09802,29
2200,4063,-37.81682,145.09802,4
2200,4063,-37.81682,145.09802,5
2200,4063,-37.81682,145.09802,11
2200,4063,-37.81682,145.09802,9
2200,4063,-37.81682,145.09802,10
2200,4063,-37.81682,145.09802,25
2200,4063,-37.81682,145.09802,32
2200,4063,-37.81682,145.09802,8
2200,4063,-37.81682,145.09802,8
2200,4063,-37.81682,145.09802,14
2200,4063,-37.81682,145.09802,14
2200,4063,-37.81682,145.09802,15
2200,4063,-37.81682,145.09802,32
2200,4063,-37.81682,145.09802,34
2200,4063,-37.81682,145.09802,13
2200,4063,-37.81682,145.09802,11
2200,4063,-37.81682,145.09802,10
2200,4063,-37.81682,145.09802,11
2200,4063,-37.81682,145.09802,11
2200,4063,-37.81682,145.09802,33
2200,4063,-37.81682,145.09802,51
2200,4063,-37.81682,145.09802,8
2200,4063,-37.81682,145.09802,9
2200,4063,-37.8164799,145.0977388,47
2200,4063,-37.8164799,145.0977388,19
2200,4063,-37.8164799,145.0977388,12
2200,4063,-37.8164799,145.0977388,19
2200,4063,-37.8164799,145.0977388,20
2200,4063,-37.8164799,145.0977388,21
2200,4063,-37.8164799,145.0977388,40
2200,4063,-37.8164799,145.0977388,47
2200,4063,-37.8164799,145.0977388,7
2200,4063,-37.8164799,145.0977388,11
2200,4063,-37.8164799,145.0977388,21
2200,4063,-37.8164799,145.0977388,15
2200,4063,-37.8164799,145.0977388,20
2200,4063,-37.8164799,145.0977388,41
2200,4063,-37.8164799,145.0977388,57
2200,4063,-37.8164799,145.0977388,12
2200,4063,-37.8164799,145.0977388,15
2200,4063,-37.8164799,145.0977388,35
2200,4063,-37.8164799,145.0977388,25
2200,4063,-37.8164799,145.0977388,24
2200,4063,-37.8164799,145.0977388,40
2200,4063,-37.8164799,145.0977388,47
2200,4063,-37.8164799,145.0977388,20
2200,4063,-37.8164799,145.0977388,11
2200,4063,-37.8164799,145.0977388,24
2200,4063,-37.8164799,145.0977388,20
2200,4063,-37.8164799,145.0977388,26
2200,4063,-37.8164799,145.0977388,45
2200,4063,-37.8164799,145.0977388,51
2200,4063,-37.8164799,145.0977388,12
2200,4063,-37.8164799,145.0977388,27
2820,3662 4321,-37.79477,145.03077,30
2820,3662 4321,-37.79477,145.03077,6
2820,3662 4321,-37.79477,145.03077,8
2820,3662 4321,-37.79477,145.03077,10
2820,3662 4321,-37.79477,145.03077,11
2820,3662 4321,-37.79477,145.03077,17
2820,3662 4321,-37.79477,145.03077,28
2820,3662 4321,-37.79477,145.03077,28
2820,3662 4321,-37.79477,145.03077,5
2820,3662 4321,-37.79477,145.03077,6
2820,3662 4321,-37.79477,145.03077,15
2820,3662 4321,-37.79477,145.03077,19
2820,3662 4321,-37.79477,145.03077,10
2820,3662 4321,-37.79477,145.03077,29
2820,3662 4321,-37.79477,145.03077,29
2820,3662 4321,-37.79477,145.03077,15
2820,3662 4321,-37.79477,145.03077,6
2820,3662 4321,-37.79477,145.03077,10
2820,3662 4321,-37.79477,145.03077,13
2820,3662 4321,-37.79477,145.03077,12
2820,3662 4321,-37.79477,145.03077,26
2820,3662 4321,-37.79477,145.03077,34
2820,3662 4321,-37.79477,145.03077,11
2820,3662 4321,-37.79477,145.03077,9
2820,3662 4321,-37.79477,145.03077,7
2820,3662 4321,-37.79477,145.03077,13
2820,3662 4321,-37.79477,145.03077,10
2820,3662 4321,-37.79477,145.03077,27
2820,3662 4321,-37.79477,145.03077,40
2820,3662 4321,-37.79477,145.03077,10
2820,3662 4321,-37.79477,145.03077,9
2820,3662 4321,-37.7948,145.03015,84
2820,3662 4321,-37.7948,145.03015,28
2820,3662 4321,-37.7948,145.03015,29
2820,3662 4321,-37.7948,145.03015,24
2820,3662 4321,-37.7948,145.03015,38
2820,3662 4321,-37.7948,145.03015,33
2820,3662 4321,-37.7948,145.03015,65
2820,3662 4321,-37.7948,145.03015,107
2820,3662 4321,-37.7948,145.03015,30
2820,3662 4321,-37.7948,145.03015,30
2820,3662 4321,-37.7948,145.03015,45
2820,3662 4321,-37.7948,145.03015,35
2820,3662 4321,-37.7948,145.03015,35
2820,3662 4321,-37.7948,145.03015,89
2820,3662 4321,-37.7948,145.03015,98
2820,3662 4321,-37.7948,145.03015,28
2820,3662 4321,-37.7948,145.03015,23
2820,3662 4321,-37.7948,145.03015,49
2820,3662 4321,-37.7948,145.03015,34
2820,3662 4321,-37.7948,145.03015,43
2820,3662 4321,-37.7948,145.03015,82
2820,3662 4321,-37.7948,145.03015,104
2820,3662 4321,-37.7948,145.03015,22
2820,3662 4321,-37.7948,145.03015,20
2820,3662 4321,-37.7948,145.03015,34
2820,3662 4321,-37.7948,145.03015,42
2820,3662 4321,-37.7948,145.03015,78
2820,3662 4321,-37.7948,145.03015,99
2820,3662 4321,-37.7948,145.03015,27
2820,3662 4321,-37.7948,145.03015,26
2825,4030,-37.78661,145.06202,61
2825,4030,-37.78661,145.06202,33
2825,4030,-37.78661,145.06202,19
2825,4030,-37.78661,145.06202,19
2825,4030,-37.78661,145.06202,35
2825,4030,-37.78661,145.06202,28
2825,4030,-37.78661,145.06202,58
2825,4030,-37.78661,145.06202,92
2825,4030,-37.78661,145.06202,19
2825,4030,-37.78661,145.06202,22
2825,4030,-37.78661,145.06202,26
2825,4030,-37.78661,145.06202,29
2825,4030,-37.78661,145.06202,24
2825,4030,-37.78661,145.06202,49
2825,4030,-37.78661,145.06202,102
2825,4030,-37.78661,145.06202,29
2825,4030,-37.78661,145.06202,20
2825,4030,-37.78661,145.06202,31
2825,4030,-37.78661,145.06202,31
2825,4030,-37.78661,145.06202,36
2825,4030,-37.78661,145.06202,71
2825,4030,-37.78661,145.06202,115
2825,4030,-37.78661,145.06202,27
2825,4030,-37.78661,145.06202,22
2825,4030,-37.78661,145.06202,28
2825,4030,-37.78661,145.06202,33
2825,4030,-37.78661,145.06202,33
2825,4030,-37.78661,145.06202,60
2825,4030,-37.78661,145.06202,98
2825,4030,-37.78661,145.06202,27
2825,4030,-37.78661,145.06202,25
2827,4051,-37.78093,145.07733,97
2827,4051,-37.78093,145.07733,27
2827,4051,-37.78093,145.07733,23
2827,4051,-37.78093,145.07733,39
2827,4051,-37.78093,145.07733,34
2827,4051,-37.78093,145.07733,46
2827,4051,-37.78093,145.07733,78
2827,4051,-37.78093,145.07733,95
2827,4051,-37.78093,145.07733,36
2827,4051,-37.78093,145.07733,27
2827,4051,-37.78093,145.07733,28
2827,4051,-37.78093,145.07733,33
2827,4051,-37.78093,145.07733,40
2827,4051,-37.78093,145.07733,69
2827,4051,-37.78093,145.07733,123
2827,4051,-37.78093,145.07733,39
2827,4051,-37.78093,145.07733,25
2827,4051,-37.78093,145.07733,47
2827,4051,-37.78093,145.07733,39
2827,4051,-37.78093,145.07733,44
2827,4051,-37.78093,145.07733,48
2827,4051,-37.78093,145.07733,100
